Client_ID,Client_FirstName,Client_LastName,Client_Building,Client_BuildingLevel,Client_Mobile,Client_Email
C1,Albert,Black,B1,1,423345678,ablack@gmail.com
C2,Johny,White,B1,1,423345679,ablack@gmail.com
C3,Agus,Red,B1,2,423345680,ablack@gmail.com
C4,Martha,Pink,B1,7,423345681,ablack@gmail.com
C5,Beby,Green,B1,3,423345682,ablack@gmail.com
C6,Lala,Brown,B1,6,423345683,ablack@gmail.com
C7,Lili,Indah,B1,4,423345684,ablack@gmail.com
C8,Lulu,Sari,B2,6,423345685,ablack@gmail.com
C9,Koko,Dewa,B1,1,423345686,ablack@gmail.com
C10,Candy,Gusdur,B2,3,423345687,ablack@gmail.com
C11,Mandy,Melani,B1,8,423345688,ablack@gmail.com
C12,Iwan,Anggun,B1,5,423345689,ablack@gmail.com
C13,Anton,Citra,B2,9,423345690,ablack@gmail.com
C14,Joni,Lestari,B2,1,423345691,ablack@gmail.com
C15,Juju,Mawari,B1,4,423345692,ablack@gmail.com
